X	logFC	logCPM	LR	PValue	FDR	UniversalAnnotation	GeneAnnotation	GeneCategory
898	PA14_06450	-2.590458668	3.573401797	15.33519149	9e-05	0.044507146	NA	acetyl-CoA carboxylase biotin carboxylase subunit	Fatty acid and phospholipid metabolism
1302	PA14_09370	-3.864541352	2.630936707	14.17079193	0.000166942	0.048916762	NA	hypothetical protein	Membrane proteins
1446	PA14_10400	-7.76835338	1.393796516	17.01368037	3.71e-05	0.03580441	NA	hypothetical protein	Hypothetical, unclassified, unknown
1516	PA14_10900	-4.951708605	2.666585585	21.03415324	4.51e-06	0.015532241	NA	alcohol dehydrogenase	Putative enzymes
1525	PA14_10960	-2.119804093	3.986634423	14.18290677	0.00016587	0.048916762	NA	ferredoxin oxidoreductase subunit	Putative enzymes
1779	PA14_12820	-2.30963198	4.966052801	13.86452523	0.000196472	0.048916762	NA	two-component sensor	Two-component regulatory systems
1887	PA14_13650	-2.432848402	4.839830441	16.7969192	4.16e-05	0.03580441	NA	hypothetical protein	Carbon compound catabolism
1994	PA14_14420igr	-3.219917456	5.950068627	14.44553111	0.000144272	0.048916762	NA	hypothetical protein	Hypothetical, unclassified, unknown
2553	PA14_18275	-2.58409774	3.544897688	13.54404177	0.00023303	0.048916762	fruA	phosphotransferase system, fructose-specific IIBC component	Hypothetical, unclassified, unknown
2563	PA14_18370igr	-3.148637754	2.615947925	13.85807601	0.000197148	0.048916762	NA	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	Amino acid biosynthesis and metabolism
2572	PA14_18470	-3.206118139	3.081049577	13.79038003	0.00020438	0.048916762	algL	poly(beta-D-mannuronate) lyase	Secreted Factors (toxins, enzymes, alginate)
2792	PA14_20040	-4.4898973	2.941183947	16.50652936	4.85e-05	0.036209628	hasE	metalloprotease secretion protein	Protein secretion/export apparatus
2808	PA14_20170	-4.427025634	2.535624636	15.07597839	0.000103269	0.048480154	nosY	NosY protein	Energy metabolism
3094	PA14_22100	-4.124224367	3.549862538	16.133509	5.9e-05	0.038643366	NA	hypothetical protein	Hypothetical, unclassified, unknown
3734	PA14_26650	-2.380360494	3.30123854	14.53885528	0.000137298	0.048916762	NA	short chain dehydrogenase	Putative enzymes
4079	PA14_28880	-2.852907063	3.538437555	13.47663541	0.000241553	0.048916762	NA	hypothetical protein	Hypothetical, unclassified, unknown
4135	PA14_29230igr	-5.074900195	2.673622989	16.88941538	3.96e-05	0.03580441	NA	hypothetical protein	Putative enzymes
4375	PA14_30910igr	-4.956296366	1.412778371	15.88390579	6.73e-05	0.038643366	NA	conjugal transfer ATPase TrbE	Related to phage, transposon, or plasmid
4396	PA14_31080	-4.802482889	1.549236592	14.01359114	0.000181494	0.048916762	NA	conjugal transfer protein	Related to phage, transposon, or plasmid
4512	PA14_31890	-1.85794301	5.06264225	14.74315773	0.000123194	0.048916762	NA	RND efflux transporter	Transport of small molecules
4617	PA14_32740	-1.915359709	4.628278608	13.72668534	0.000211429	0.048916762	NA	TonB-dependent receptor	Transport of small molecules
