logFC	logCPM	LR	PValue	FDR
PA14_59440igr	-2.67768387089407	4.48919381633169	20.4945579054916	5.98010368820913e-06	0.0617625108918239
PA14_59400	-2.0176505078397	5.93501302056763	15.3352677815086	9.00201558165333e-05	0.464864084636578
PA14_52080igr	-1.81713886089811	0.901263136666605	12.4971901631967	0.00040756454434705	0.870425975051903
PA14_59470	-2.0279424660625	4.57020502780867	12.2008357611927	0.000477681107285033	0.870425975051903
PA14_55920	1.83031180685552	6.22751990438047	12.1067295163151	0.00050240175691808	0.870425975051903
PA14_55900	1.34011490485554	5.12155839987612	12.0409611076903	0.000520441303203673	0.870425975051903
PA14_28050	1.75482844447793	6.34221307715831	11.5837022138107	0.000665323501276681	0.870425975051903
PA14_55850	1.3132420585694	3.91633955575992	11.5589858949478	0.000674226161930212	0.870425975051903
PA14_40550	1.4057064389033	4.91108809410402	11.0942834727651	0.000865942353610196	0.993716958676234
PA14_44170	1.93349995295844	6.6019189168016	10.6204310071301	0.00111844975182322	1
PA14_55890	1.30391290442264	5.13421971625844	10.1624603336582	0.00143329218575705	1
PA14_59410igr	-3.26267370197797	-0.0815923374033792	9.7914354930969	0.001753265397699	1
PA14_55900igr	4.80036751405708	-0.52103484905644	9.78729023877811	0.00175722226049899	1
PA14_22780igr	-2.17517057796115	-0.27800242148393	9.7168774346336	0.00182583466363768	1
PA14_46030	1.77121877007588	7.30121187327486	9.71049275085174	0.00183218881797473	1
PA14_64550igr	-2.29828711012913	0.468389827322998	9.60028815006302	0.00194546838086954	1
PA14_39230	1.46034874951524	4.71368991676193	9.55026644892884	0.00199920394965658	1
PA14_02270	1.81119382501937	7.07854391760089	9.44465361809292	0.00211765489532261	1
PA14_00310	1.21135644007525	4.85496369476754	9.33546037055001	0.00224761618932401	1
PA14_26280	1.81384908034736	7.63046654290069	9.25179634492329	0.00235264537441404	1
PA14_55930	2.25213535684749	8.01211872188191	9.18064343727091	0.00244588022189821	1
PA14_56200	2.14243812923973	6.31005580506208	9.16869883415391	0.00246189543870198	1
PA14_26850igr	3.3205424307283	-0.301184262489094	9.01519243552498	0.00267744698269321	1
PA14_39230igr	1.56377695783033	2.71121083302298	8.98457748894868	0.00272267736343886	1
PA14_49070igr	2.54423798846157	0.709624992746925	8.94751593828251	0.00277847151518397	1
PA14_55840	1.99000644405394	2.04418501048058	8.91397621041645	0.00282996416959977	1
PA14_19490	-1.54248300900056	5.48416000785088	8.85680521707505	0.00291998191624391	1
PA14_59410	-1.73881695746694	2.82601936861962	8.74464511477185	0.0031051252547212	1
PA14_42780igr	2.14712465963711	1.74087721721637	8.67283966380138	0.00322987508985925	1
PA14_28050igr	2.82016413736134	0.910682432173283	8.59506102276679	0.00337075918131067	1
PA14_43710igr	1.52739469101781	3.04069678174192	8.57933657483595	0.0033999922637904	1
PA14_21570	2.23566633698689	4.04526196024198	8.55934629177195	0.00343752832863382	1
PA14_02260igr	1.86607470113938	4.91243422492201	8.47625121784796	0.00359812813609373	1
PA14_64050igr	1.85897276433835	2.46830755655989	8.46650030668398	0.00361746753486237	1
PA14_29750	1.61099379757557	3.78943444261999	8.42697515802206	0.00369694835089123	1
PA14_59230	2.38844012183093	4.79103341904134	8.4206131363042	0.0037099066475251	1
PA14_50070igr	5.04592800717557	-0.432372603316891	8.37387361027891	0.00380653407704952	1
PA14_19670igr	2.68207173339365	0.723976186833141	8.3526249546916	0.00385130541918157	1
PA14_14570	-2.40550818725712	5.05979600301347	8.28151237250715	0.00400507563661471	1
PA14_10840igr	4.16958201885009	-0.552234699588784	8.26560475867406	0.00404032002586532	1
PA14_31400	1.08542542272808	4.89474952910219	8.11161710208305	0.00439824734764031	1
PA14_55880	1.22978234218042	4.47298610055236	7.96592739697409	0.00476660628969537	1
PA14_03700	-1.84013778355687	5.15407813798199	7.94580222191655	0.00481990470814367	1
PA14_47850igr	3.49249388491568	0.676633992928267	7.9254216627488	0.00487449836096151	1
PA14_36200	-1.10374167510688	4.4036343503475	7.79104439225413	0.00525058356988907	1
PA14_03700igr	-1.75281040955237	4.2827470499162	7.73146263345708	0.00542667720609098	1
PA14_52090	-2.40374119106276	6.38914890820503	7.70255809069995	0.00551426207187054	1
PA14_19490igr	-2.15789599504047	3.48831773189288	7.68074551472645	0.00558131057226034	1
PA14_61260igr	1.77196574202575	1.02483876803112	7.54227844844976	0.00602677833211317	1
PA14_03710	-1.88636755782952	4.02647584985059	7.50873662036568	0.00614004246670326	1
PA14_13830igr	4.30760446531993	-0.595659217524794	7.46677111740916	0.00628481699080467	1
PA14_67150igr	2.84891379885142	-0.0282783127366773	7.45661373822546	0.00632037911979849	1
PA14_56000	1.66546774810545	7.43123365826154	7.42266629840285	0.00644073040322501	1
PA14_20750igr	1.40016622065829	4.33496982700755	7.35053021758424	0.00670429807861087	1
PA14_51610	2.8268667523892	4.01173621526884	7.34771619511558	0.00671480022535565	1
PA14_55930igr	1.63426041069772	7.07363731477729	7.31368546282839	0.00684314379492542	1
PA14_07020igr	1.86336552012725	1.15660137719462	7.28122061606833	0.00696791728371271	1
PA14_10870igr	3.10857960563826	-0.106861013696582	7.25419860364665	0.00707354314958739	1
PA14_56190igr	2.02602221623762	5.504068761866	7.22147229580318	0.00720365989371998	1
PA14_53600igr	3.09332696602815	0.358260122055092	7.20770896077592	0.00725910977174575	1
PA14_22580igr	2.60308885389842	0.592733601565954	7.17461545659416	0.00739422953203988	1
PA14_69610	1.26436530499291	6.33024560747792	7.13480771862269	0.00756017492956448	1
PA14_72300igr	4.26636942646955	-0.49988824096507	7.05746081103319	0.0078935801808745	1
PA14_44470	1.56709974508765	7.48661067917125	7.01089219091584	0.00810152972850496	1
PA14_20740igr	1.98077854475741	7.94207798268363	7.00642522695933	0.00812176897212425	1
PA14_46060	1.33002557782262	5.56843631959718	6.9313624867258	0.00846971418121761	1
PA14_23410igr	2.377340279688	3.35951055515082	6.88533393352953	0.0086905830405382	1
PA14_61300	1.98869240207208	8.68120533525402	6.88051254198701	0.00871405710841962	1
PA14_03680igr	-1.69655246758329	1.96592557219366	6.83503972507951	0.00893867057208449	1
