logFC	logCPM	LR	PValue	FDR
PA14_11750igr	-2.47783164945196	4.92730847480589	27.6240657254234	1.47334235670418e-07	0.00152166798600408
PA14_11770igr	-2.57511055280419	4.57023013778935	21.6597486344938	3.25551262676911e-06	0.0168114672046357
PA14_14280igr	-2.84763480988001	5.10720849234387	19.0024135649505	1.30553212267608e-05	0.0449451192099952
PA14_14300	-2.789280855463	7.62930455555352	17.8398048643535	2.40303299279762e-05	0.0498538538941465
PA14_11760	-2.30926058316647	6.82875144977053	17.3502166111886	3.10862837012918e-05	0.0498538538941465
PA14_67420igr	6.67365137893768	5.68911190003209	16.7776969084751	4.20243408639336e-05	0.0498538538941465
PA14_52080igr	-2.89842491281542	0.901263136666605	16.6462903296678	4.50383047223245e-05	0.0498538538941465
PA14_67150igr	4.13919517573678	-0.0282783127366773	16.5875105102126	4.64559478174988e-05	0.0498538538941465
PA14_00310	1.64889543577932	4.85496369476754	15.6553434903283	7.59975476805522e-05	0.0498538538941465
PA14_22580igr	3.88906704849837	0.592733601565954	15.575249031955	7.92857006688147e-05	0.0498538538941465
PA14_20980	1.67821168387914	3.69314032718331	15.5226420826902	8.1522908699916e-05	0.0498538538941465
PA14_48530	3.73724599223498	6.88294675356327	15.4981349197791	8.25867008902752e-05	0.0498538538941465
PA14_16250	2.66030078776708	6.91232146513787	15.466630017553	8.39747914354606e-05	0.0498538538941465
PA14_55890	1.65434612251022	5.13421971625844	15.4187556353801	8.61291869361736e-05	0.0498538538941465
PA14_55880	1.79661283436357	4.47298610055236	15.4058946194964	8.67173642046902e-05	0.0498538538941465
PA14_47420igr	-3.25452081571753	0.629107541123941	15.384132458397	8.77218407091939e-05	0.0498538538941465
PA14_51430	1.92641362944558	5.21411427419974	15.359853094428	8.88563276834814e-05	0.0498538538941465
PA14_67180	5.51384641634793	8.51316800530418	15.3202340491442	9.07393729269898e-05	0.0498538538941465
PA14_40260igr	3.6242588019008	7.03740396681679	15.3000496655679	9.17140999214546e-05	0.0498538538941465
PA14_28760igr	3.8959341621687	5.35419579920379	15.0321977510243	0.000105692489655116	0.054579601657902
PA14_38440	-1.62562627274423	5.83272764571606	14.8310415930687	0.000117584080028523	0.0578289704064091
PA14_11770	-2.05353090516032	7.367800138059	14.6331943272319	0.0001305939305888	0.0581229437212582
PA14_08180	2.46423691284579	4.02823901504819	14.5938101114839	0.000133351849552975	0.0581229437212582
PA14_11790	-2.61012088349829	8.03216137170388	14.5697573252823	0.000135064935061018	0.0581229437212582
PA14_11790igr	-2.15034484515066	6.18874444435066	14.4167882253742	0.000146490516729639	0.0605181622713485
PA14_07020igr	2.71309062019359	1.15660137719462	14.1234040083957	0.000171200416230919	0.0680060730320357
PA14_55840	2.56581223068578	2.04418501048058	13.1712891256647	0.000284271108539432	0.102771529013527
PA14_09210	1.59456765103088	4.0047073870824	13.1511092462157	0.000287349082671702	0.102771529013527
PA14_21550	-1.88869647076361	6.35509741478049	13.1431502403385	0.000288572263883839	0.102771529013527
PA14_13140	2.45147079021186	5.87522157405569	13.0505881966239	0.000303189174628609	0.104377926518809
PA14_10360	2.49791499798314	6.06684600179013	12.8046181626392	0.000345764778161098	0.109504282712351
PA14_12360igr	-2.38544316916823	1.89602692438376	12.7633147696139	0.000353483919703662	0.109504282712351
PA14_50640	-1.49779389107231	3.94988121998336	12.7419146399898	0.000357551481759398	0.109504282712351
PA14_55850	1.45895770624468	3.91633955575992	12.6785580688204	0.000369872696176006	0.109504282712351
PA14_24500	2.22198113066179	2.29125401249949	12.672398745877	0.000371093134675859	0.109504282712351
PA14_39980igr	2.07912149087873	4.84606857053051	12.5513484173137	0.000395920505559899	0.113585193928406
PA14_47850igr	4.39782216680459	0.676633992928267	12.4510023756846	0.000417767558175303	0.116613603806339
PA14_08260	2.15439307044494	5.33602942244474	12.346017245158	0.000441928273752922	0.120111452929479
PA14_01500	2.16052881281929	6.52081815519898	12.1222256573666	0.000498244018278459	0.131945236430255
PA14_22075igr	5.46601333562633	12.2419165754803	11.9405272795116	0.000549259326596239	0.138241382047916
PA14_17330igr	5.39231134577507	-0.472275142177281	11.9340955938425	0.000551158775408974	0.138241382047916
PA14_49760	1.36099047347431	4.62566530870795	11.8619825429703	0.00057291521684316	0.138241382047916
PA14_03900igr	-1.89800204248332	3.33025837636635	11.8534066806489	0.000575559588309488	0.138241382047916
PA14_14310	-1.40125789201906	4.16793941134447	11.7802858055427	0.000598612930475173	0.140510780589718
PA14_14290igr	-2.44682066955262	6.1635673445009	11.5825022006488	0.000665752983262851	0.149063406633106
